Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
27,8,3,3.23641304347826,6.56551724137931,1,4,29,27,2.23529411764706,6.11881188118812,6,1,0.1794266,29,7
10,9,1,6.49038461538461,5.19565217391304,4,3,33,10,6.12037037037037,5.85294117647059,NaN,1,0.01575148,33,9
19,6,3,4.44230769230769,4.45714285714286,2,2,36,19,4.89814814814815,4.66666666666667,6,1,0.2499055,36,5
31,1,3,5.17857142857143,3.25,3,1,5,31,5.45098039215686,2.90196078431373,4,1,0.270491,5,7
15,2,3,5.18620689655172,3.26896551724138,3,1,18,15,5.2037037037037,2.88235294117647,NaN,1,3.042681,18,7
16,3,3,3.25,3.24728260869565,1,1,4,16,3.55882352941176,4.22222222222222,4,1,0.166077,4,7
6,8,3,6.82758620689655,5.19285714285714,4,3,24,6,6.31372549019608,4.83333333333333,7,1,1.559266,24,9
4,7,2,3.25,3.25,1,1,4,31,3.55882352941176,2.90196078431373,NaN,1,2.31869,31,1
12,2,2,1.82068965517241,6.62228260869565,0,4,12,25,2.13725490196078,6.24752475247525,NaN,1,0.04846789,25,8
22,1,2,1,1.51724137931034,0,0,22,35,1.25490196078431,1.40196078431373,NaN,1,0.06146783,35,1
14,2,2,4.46206896551724,1.58423913043478,2,0,14,13,4.21782178217822,2.00980392156863,3,1,0.5478952,13,3
26,8,1,5.17857142857143,6.58967391304348,3,4,17,26,4.98039215686275,6.41176470588235,9,1,0.7591122,17,6
3,9,2,6.49728260869565,3.24728260869565,4,1,3,16,6.32352941176471,4.22222222222222,2,1,0.24448,16,3
19,6,1,1.82068965517241,4.45714285714286,0,2,30,19,1.67326732673267,4.66666666666667,1,1,1.936093,30,1
17,6,2,5.17857142857143,3.26896551724138,3,1,17,15,4.98039215686275,2.88235294117647,2,1,1.479111,15,2
10,9,3,1.82068965517241,5.19565217391304,0,3,30,10,1.67326732673267,5.85294117647059,3,1,0.7299308,30,1
9,2,1,4.44230769230769,3.25271739130435,2,1,36,9,4.89814814814815,3.54455445544554,2,1,1.061396,36,5
34,9,3,5.2,6.50961538461539,3,4,11,34,5.94059405940594,6.1078431372549,6,1,0.2726488,11,9
6,8,1,3.24184782608696,5.19285714285714,1,3,28,6,4.03703703703704,4.83333333333333,2,1,1.298209,28,2
35,1,1,1.45714285714286,1.51724137931034,0,0,20,35,1.97058823529412,1.40196078431373,1,1,1.274454,20,1
1,6,1,6.64423076923077,5.19310344827586,4,3,23,1,6.37623762376238,5.33333333333333,NaN,1,2.405244,23,9
